round_id,crashed_at,total_bank_usd,users_count,start_at,profit_loss
6963892,1.0,120.71,55,2025-09-01T04:26:30.461900+00:00,120.71
6963893,1.15,105.26,52,2025-09-01T04:26:43.691400+00:00,103.1185
6963894,1.75,123.98,54,2025-09-01T04:26:58.655100+00:00,22.5224
6963895,2.03,144.26,63,2025-09-01T04:27:18.807900+00:00,-30.472
6963896,1.03,93.59,46,2025-09-01T04:27:40.892400+00:00,93.59
6963897,8.37,109.65,50,2025-09-01T04:27:54.513300+00:00,-100.49
6963898,4.37,120.58,52,2025-09-01T04:28:34.421500+00:00,-106.8636
6963899,2.27,110.71,43,2025-09-01T04:29:06.075300+00:00,-7.8963
6963900,1.0,120.43,57,2025-09-01T04:29:29.492100+00:00,120.43
6963901,1.23,119.92,61,2025-09-01T04:29:42.722000+00:00,91.7586
6963902,1.0,120.83,50,2025-09-01T04:29:58.560700+00:00,120.83
6963903,1.56,144.83,62,2025-09-01T04:30:11.772600+00:00,30.4746
6963904,1.68,109.37,52,2025-09-01T04:30:30.600600+00:00,40.7482
6963905,1.22,99.54,46,2025-09-01T04:30:50.294600+00:00,59.129
6963906,1.45,82.92,42,2025-09-01T04:31:05.959000+00:00,36.5626
6963907,1.0,134.09,63,2025-09-01T04:31:23.723900+00:00,134.09
6963908,2.32,149.68,67,2025-09-01T04:31:37.002500+00:00,-33.0168
6963909,5.25,105.68,50,2025-09-01T04:32:00.726400+00:00,-76.686
6963910,11.67,104.56,49,2025-09-01T04:32:34.636800+00:00,-82.4308
6963911,4.96,128.55,52,2025-09-01T04:33:18.597900+00:00,-109.4961
6963912,53.83,143.83,63,2025-09-01T04:33:51.904400+00:00,-132.1622
6963913,1.18,95.24,47,2025-09-01T04:34:55.213200+00:00,69.0442
6963914,1.48,84.23,47,2025-09-01T04:35:10.463700+00:00,40.9705
6963915,5.03,101.94,41,2025-09-01T04:35:28.481000+00:00,-101.9119
6963916,36.0,98.45,42,2025-09-01T04:36:01.949200+00:00,-94.3742
6963917,1.56,102.04,49,2025-09-01T04:37:00.153800+00:00,40.6729
6963918,3.84,104.95,42,2025-09-01T04:37:18.996200+00:00,-77.1352
6963919,2.5,111.66,51,2025-09-01T04:37:49.009000+00:00,-28.526
6963920,4.77,112.48,54,2025-09-01T04:38:13.647400+00:00,-91.009
6963921,1.32,159.32,62,2025-09-01T04:38:46.362800+00:00,106.5177
6963922,1.81,104.18,53,2025-09-01T04:39:02.975800+00:00,26.777
6963923,1.02,134.5,59,2025-09-01T04:39:23.572200+00:00,134.5
6963924,1.86,123.01,52,2025-09-01T04:39:37.073600+00:00,46.1055
6963925,1.0,151.41,59,2025-09-01T04:39:57.948400+00:00,151.41
6963926,1.0,143.38,66,2025-09-01T04:40:11.170200+00:00,143.38
6963927,1.15,134.75,61,2025-09-01T04:40:24.443400+00:00,120.0407
6963928,1.95,114.88,58,2025-09-01T04:40:39.438500+00:00,18.7157
6963929,1.03,157.41,57,2025-09-01T04:41:00.934300+00:00,154.4204
6963930,1.0,112.35,60,2025-09-01T04:41:14.574300+00:00,112.35
6963931,1.5,164.92,65,2025-09-01T04:41:27.780600+00:00,63.3308
6963932,9.16,167.35,69,2025-09-01T04:41:45.969300+00:00,-125.1351
6963933,2.11,115.91,49,2025-09-01T04:42:26.940300+00:00,4.9678
6963934,1.66,115.27,55,2025-09-01T04:42:49.471600+00:00,24.8498
6963935,1.4,83.41,43,2025-09-01T04:43:09.012700+00:00,58.0825
6963936,3.22,105.92,48,2025-09-01T04:43:26.322100+00:00,-39.8837
6963937,1.02,156.54,67,2025-09-01T04:43:54.096800+00:00,156.54
6963938,177.37,109.56,52,2025-09-01T04:44:07.651600+00:00,-153.6786
6963939,2.47,120.2,55,2025-09-01T04:45:25.954800+00:00,-40.1968
6963940,24.66,129.08,46,2025-09-01T04:45:50.422100+00:00,-108.4059
6963941,1.33,117.23,46,2025-09-01T04:46:43.827200+00:00,76.849
