round_id,crashed_at,total_bank_usd,users_count,start_at,profit_loss,hidden_state,pnl_of_max_bet_player,avg_player_pnl_in_round,max_player_pnl_in_round,num_winning_players,hour,day_of_week,crash_lag_1,users_lag_1,bank_lag_1,crash_lag_2,users_lag_2,bank_lag_2,crash_lag_3,users_lag_3,bank_lag_3,crash_lag_5,users_lag_5,bank_lag_5,crash_mean_5,crash_std_5,users_mean_5,crash_mean_10,crash_std_10,users_mean_10,historical_q25,historical_q75,historical_q90,profit_per_user,bank_per_user,anomaly_score
6984160,1.0,216.93,65,2025-09-06 22:56:56.816700+00:00,216.93,1,-72.33500000000004,-31.485298461538463,64.4374,12.0,22,5,1.14,44.0,126.47,2.46,50.0,136.25,8.83,67.0,203.39,9.69,39.0,700.93,4.648,4.255910008465352,49.6,46.879000000000005,137.69219444107918,54.0,1.2,3.61,9.165999999999986,3.286818181818182,3.286818181818182,-0.2083306327592619
6964544,1.86,164.14,39,2025-09-01 08:54:33.253100+00:00,41.29,0,37.80059999999999,-8.788576923076924,60.3044,16.0,8,0,5.26,74.0,423.9,1.91,79.0,401.64,1.33,48.0,226.15,2.86,74.0,395.38,5.848000000000005,6.891354728936639,64.2,26.886000000000003,65.24931199296698,62.2,1.2,3.66,9.51999999999999,1.03225,4.1034999999999995,-0.20271728387140964
6981933,1.87,340.96,66,2025-09-06 07:58:34.500900+00:00,20.7025,1,14.089899999999972,-34.86922121212122,106.579,17.0,7,5,2.37,73.0,333.58,1.27,52.0,317.89,17.55,74.0,376.4,1.0,93.0,416.6,4.678,7.215502061546602,74.0,89.74600000000001,273.9445277261641,71.1,1.21,3.64,9.21,0.30899253731343285,5.088955223880597,-0.19895835847284404
6979459,2.35,137.55,37,2025-09-05 14:58:02.844500+00:00,26.1538,1,-1785.65,-92.26293513513514,4.219299999999998,3.0,14,4,91.32,87.0,216.29,21.59,129.0,329.38,1.37,115.0,325.09,1.16,99.0,373.51,23.41200000000002,38.95737632336362,107.8,62.186000000000014,155.81469544159043,94.3,1.2,3.61,9.153999999999996,0.6882578947368421,3.6197368421052634,-0.19854974355054045
6985540,1.25,406.17,119,2025-09-07 08:30:33.893300+00:00,298.6169,1,-141.00619999999998,-40.5634781512605,52.2211,16.0,8,6,2.24,103.0,409.8,3.15,94.0,283.01,1.37,89.0,256.59,4.61,59.0,183.21,2.766,1.211086289313095,79.0,47.85000000000001,133.51291922506968,72.0,1.2,3.63,9.24,2.4884741666666668,3.38475,-0.19751965228649537
6996757,1.13,97.15,29,2025-09-10 11:59:58.830600+00:00,84.19,0,-201.49080000000004,-40.01583103448276,17.2741,2.0,11,2,2.82,74.0,202.34,1.0,60.0,201.84,1.73,46.0,125.48,1.88,72.0,260.14,1.9240000000000226,0.664627715497034,59.4,72.32200000000002,221.53030792396973,57.4,1.2,3.58,8.91,2.8063333333333333,3.2383333333333337,-0.19340058012457784
6985850,2.74,242.46,74,2025-09-07 10:38:37.556900+00:00,-83.0553,1,-92.9191,-36.08943648648649,22.212499999999995,12.0,10,6,1.35,73.0,308.3,3.04,75.0,210.25,1.78,70.0,288.67,1.58,85.0,315.39,2.38,1.1863178326901815,74.2,22.634000000000004,62.44533079244405,70.5,1.2,3.63,9.242999999999993,-1.107404,3.2328,-0.19198495906387392
6993511,54.97,353.05,63,2025-09-09 14:10:31.816900+00:00,-323.471,0,-824.239,-62.299239682539685,608.01,13.0,14,1,1.5,59.0,291.81,1.65,69.0,375.19,9.71,59.0,393.01,8.07,51.0,259.31,5.116000000000023,3.712705213205551,59.4,33.023,92.84293068881915,62.6,1.2,3.6,8.92,-5.054234375,5.51640625,-0.18911674095114472
6964535,13.01,209.43,48,2025-09-01 08:50:00.672100+00:00,-197.825,1,-77.3619,-16.369947916666668,46.34490000000001,17.0,8,0,211.82,87.0,516.09,1.01,64.0,354.0,1.32,72.0,368.25,2.68,72.0,405.26,43.616,94.031168396442,70.4,33.56699999999999,71.26498439704524,65.5,1.1949999999999998,3.6399999999999997,8.822000000000024,-4.037244897959184,4.274081632653061,-0.17723995957523409
6982694,3.32,346.91,86,2025-09-06 13:02:36.970900+00:00,-135.1945,1,-73.35720000000002,-35.97755,42.274800000000006,15.0,13,5,1.6,90.0,336.61,2.13,114.0,483.18,1.51,102.0,460.16,1.24,89.0,271.52,1.6219999999999999,0.32290865606660707,93.0,60.47400000000001,182.76191848656234,77.9,1.2,3.63,9.159000000000015,-1.5539597701149426,3.9874712643678163,-0.17646890035332663
